global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1685,0,842,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.000011,1.5895922,-0.01128153466498077,0.3109562349270121,0.06180773594569809,3.5731823340591613,,3.5731823340591613
1686,0,843,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091085,1.5999583,-0.1775207614175365,0.2945966819922123,-0.01620714927064154,,-1.016394208860131,-1.016394208860131
1687,0,843,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000111,1.5901804,-0.01206289758176907,0.3112057742154139,0.062023374286514735,3.588378748566859,,3.588378748566859
1688,0,844,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091044,1.5999537,-0.1773716615314069,0.2968058953893942,-0.016226143194146496,,-1.0178492933980705,-1.0178492933980705
1689,0,844,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0000069,1.5912479,-0.01206520758569241,0.3113324689231907,0.06201132190780696,3.6121451539895855,,3.6121451539895855
1690,0,845,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091128,1.5999618,-0.1766636330191069,0.2949798155662622,-0.016237374393156027,,-1.018274568606085,-1.018274568606085
1691,0,845,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000155,1.5906821,-0.01209002640098333,0.309794011973858,0.06212566687782692,3.602920526541656,,3.602920526541656
1692,0,846,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091046,1.5999635,-0.1769494084062282,0.2950083987657406,-0.016148144326191133,,-1.0130131058568033,-1.0130131058568033
1693,0,846,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000073,1.5894963,-0.01167642170279895,0.3106128006525517,0.0619480888647075,3.5782323316243985,,3.5782323316243985
1694,0,847,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0091078,1.5999562,-0.1766172663080802,0.2964476334012073,-0.015912017243971465,,-0.9991979394110714,-0.9991979394110714
1695,0,847,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,1.0000105,1.5901726,-0.01180047262459993,0.3100739991845711,0.06274271280753208,3.6066570342066524,,3.6066570342066524
1696,0,848,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090959,1.6000272,-0.1760774826666898,0.2988846813854957,-0.014136457045851532,,-0.9506632843628414,-0.9506632843628414
1697,0,848,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999857,1.589678,-0.0106818435167003,0.3103189754980157,0.06333287273604958,3.6458174102120404,,3.6458174102120404
