cycle,delta_line_mAcm2,m_fit,b_ox_fit,b_red_fit,is_outlier_zscore,delta_line_mAcm2_no_outliers_zscore,is_sampled
299,0.01819200172454949,0.18178635875402732,-0.21174052940128835,-0.22993253112583784,,,False
301,0.018347874820981047,0.1663936970998923,-0.19567409810233272,-0.21402197292331376,,,False
303,0.018233273852488435,0.1686421736484062,-0.19800353434840112,-0.21623680820088956,,,False
305,0.017969243836973403,0.1808422377371995,-0.21088155756964494,-0.22885080140661834,,,False
307,0.018083638058240897,0.18063177658431712,-0.2104771146917972,-0.2285607527500381,,,False
309,0.017813413974221315,0.18067288220551314,-0.21076057625297456,-0.22857399022719588,,,False
311,0.018076448500417786,0.1803192255639089,-0.21003552248791957,-0.22811197098833735,,,False
313,0.01794775158849507,0.17994041317579584,-0.2098162035721453,-0.22776395516064038,,,False
315,0.018562419471297303,0.16718417400644406,-0.1959824794176535,-0.2145448988889508,,,False
317,0.018324397547440058,0.1617771210168272,-0.19069657052311223,-0.2090209680705523,0.0,0.018324397547440058,True
319,0.017882646763337007,0.200433664518438,-0.23094453641562734,-0.24882718317896435,,,False
321,0.018020430250029834,0.17575401611170718,-0.20530638099097037,-0.2233268112410002,,,False
323,0.01825532572025304,0.1796673788041524,-0.20905817065219895,-0.227313496372452,,,False
325,0.0197174214846641,0.22002200429645444,-0.24910727241004837,-0.2688246938947125,,,False
327,0.017499749798902065,0.19906112817758634,-0.22979963474848714,-0.2472993845473892,,,False
329,0.018033041888053547,0.1828979298245608,-0.21254468477387256,-0.2305777266619261,,,False
331,0.017619737321876133,0.16332972466881449,-0.1927971597920748,-0.21041689711395092,,,False
333,0.01806504907745554,0.18203964912280646,-0.211612578822427,-0.22967762789988255,,,False
335,0.017589961746031807,0.1901024829931967,-0.22023841466999938,-0.2378283764160312,,,False
337,0.018180411619525022,0.1826430605084134,-0.21201702888590285,-0.23019744050542787,0.0,0.018180411619525022,True
339,0.01828633686000719,0.1702712542069455,-0.1991831914478685,-0.2174695283078757,,,False
341,0.01768161573159091,0.16767279377013916,-0.19698507458428094,-0.21466669031587185,,,False
343,0.01798425883219959,0.18033781632653,-0.20973873390077485,-0.22772299273297444,,,False
345,0.017740588134025542,0.1765317955603291,-0.20604598390495144,-0.22378657203897698,,,False
347,0.01789100023690182,0.18351828070175372,-0.21302661425022057,-0.2309176144871224,,,False
349,0.017983529441460866,0.18114969495166425,-0.21050533549971578,-0.22848886494117665,,,False
351,0.018151966575963713,0.17176151700680214,-0.20065776753114234,-0.21880973410710605,,,False
353,0.01753534762978881,0.17878252130325742,-0.20845511750539558,-0.2259904651351844,,,False
355,0.017914712016947165,0.18202403580379475,-0.21143705065373103,-0.2293517626706782,,,False
357,0.017876541952500352,0.191490635875402,-0.2212551169492709,-0.23913165890177127,0.0,0.017876541952500352,True
359,0.01791367511337877,0.20858781632652976,-0.238677337074244,-0.25659101218762276,,,False
361,0.01802595335481566,0.18068138954529125,-0.2098997040749962,-0.22792565742981186,,,False
363,0.017594130941043062,0.19635654421768642,-0.2264636302159994,-0.24405776115704247,,,False
365,0.017927154042248566,0.18416784138918654,-0.21347105252517862,-0.23139820656742718,,,False
367,0.018366376373075533,0.1939903519513066,-0.22315996099790097,-0.2415263373709765,,,False
369,0.017904821892827327,0.18164367096312137,-0.21094770616657926,-0.2288525280594066,,,False
371,0.017683457962167387,0.17135791729323255,-0.20044320582391562,-0.218126663786083,,,False
373,0.018108217384532804,0.17005492660221927,-0.19870347728100918,-0.21681169466554198,,,False
375,0.01800981083422845,0.18117329967776527,-0.21024794716276207,-0.22825775799699052,,,False
